Smoothing,Baseline,N_Groups_Detected,Detected_Groups,N_Peaks_Detected,N_Noise_Peaks,Score_Std,Score_Penalized
Median_Filter(7),polynomial_baseline(deg=3),4,"Amida I, Fosfatos (ADN/ARN), Lípidos (C-H), Proteínas/Lípidos",39,30,13,-17
Median_Filter(7),polynomial_baseline(deg=4),4,"Amida I, Fosfatos (ADN/ARN), Lípidos (C-H), Proteínas/Lípidos",39,30,13,-17
Median_Filter(7),"asls(lam=1e4, p=0.001)",4,"Amida I, Fosfatos (ADN/ARN), Lípidos (C-H), Proteínas/Lípidos",39,32,11,-21
Median_Filter(7),"asls(lam=1e5, p=0.001)",4,"Amida I, Fosfatos (ADN/ARN), Lípidos (C-H), Proteínas/Lípidos",40,32,12,-20
Median_Filter(7),"asls(lam=1e6, p=0.001)",4,"Amida I, Fosfatos (ADN/ARN), Lípidos (C-H), Proteínas/Lípidos",35,28,11,-17
Median_Filter(7),airpls(lam=1e4),4,"Amida I, Fosfatos (ADN/ARN), Lípidos (C-H), Proteínas/Lípidos",38,30,12,-18
Median_Filter(7),airpls(lam=1e5),4,"Amida I, Fosfatos (ADN/ARN), Lípidos (C-H), Proteínas/Lípidos",37,29,12,-17
Median_Filter(7),airpls(lam=1e6),4,"Amida I, Fosfatos (ADN/ARN), Lípidos (C-H), Proteínas/Lípidos",37,30,11,-19
Median_Filter(7),arpls(lam=1e4),4,"Amida I, Fosfatos (ADN/ARN), Lípidos (C-H), Proteínas/Lípidos",38,29,13,-16
Median_Filter(7),arpls(lam=1e5),4,"Amida I, Fosfatos (ADN/ARN), Lípidos (C-H), Proteínas/Lípidos",39,30,13,-17
Median_Filter(7),arpls(lam=1e6),4,"Amida I, Fosfatos (ADN/ARN), Lípidos (C-H), Proteínas/Lípidos",40,32,12,-20
"Percentile_Filter(5, 25)",RAW,4,"Amida I, Fosfatos (ADN/ARN), Lípidos (C-H), Proteínas/Lípidos",38,30,12,-18
"Percentile_Filter(5, 25)",detrend,4,"Amida I, Fosfatos (ADN/ARN), Lípidos (C-H), Proteínas/Lípidos",41,32,13,-19
"Percentile_Filter(5, 25)",linear_baseline,4,"Amida I, Fosfatos (ADN/ARN), Lípidos (C-H), Proteínas/Lípidos",41,32,13,-19
"Percentile_Filter(5, 25)",polynomial_baseline(deg=2),4,"Amida I, Fosfatos (ADN/ARN), Lípidos (C-H), Proteínas/Lípidos",39,30,13,-17
"Percentile_Filter(5, 25)",polynomial_baseline(deg=3),4,"Amida I, Fosfatos (ADN/ARN), Lípidos (C-H), Proteínas/Lípidos",38,30,12,-18
"Percentile_Filter(5, 25)",polynomial_baseline(deg=4),4,"Amida I, Fosfatos (ADN/ARN), Lípidos (C-H), Proteínas/Lípidos",39,30,13,-17
"Percentile_Filter(5, 25)","asls(lam=1e4, p=0.001)",4,"Amida I, Fosfatos (ADN/ARN), Lípidos (C-H), Proteínas/Lípidos",42,34,12,-22
"Percentile_Filter(5, 25)","asls(lam=1e5, p=0.001)",4,"Amida I, Fosfatos (ADN/ARN), Lípidos (C-H), Proteínas/Lípidos",40,32,12,-20
"Percentile_Filter(5, 25)","asls(lam=1e6, p=0.001)",4,"Amida I, Fosfatos (ADN/ARN), Lípidos (C-H), Proteínas/Lípidos",38,30,12,-18
